agent_1,agent_2,sat,dep,commit,ticks_tog,tick
12,3,17.011071428571427,39.568214285714284,-252,7,77
12,4,-2,-10,0,0,77
12,5,6,8,0,0,77
12,6,-5.83,14.727142857142857,-252,7,77
12,7,-3,7,0,0,77
12,8,4,0.001,0,0,77
12,9,10.33,14.903809523809523,-495,10,77
12,10,20.407166666666665,40.107166666666664,-135,5,77
12,11,-6,-6,0,0,77
12,13,5.963333333333333,27.963333333333335,-54,3,77
12,14,65.18152827727826,90.46590223665224,-1224,16,77
12,15,-1.1349999999999998,25.865000000000002,-27,2,77
12,16,27.48982142857143,42.79696428571428,-324,8,77
12,17,23.828619047619046,34.38576190476191,-252,7,77
12,18,11.066666666666666,42.56666666666667,-90,4,77
12,19,-1,5,0,0,77
12,20,-2,-8,0,0,77
13,1,0,0,-1,1,77
13,2,10,-5,0,0,77
13,3,30.048333333333332,23.715,-10,4,77
13,4,16,-4,-3,2,77
13,5,10436.354972092395,10423.604116725472,-1128,47,77
13,6,24.24333333333333,2.9099999999999993,-6,3,77
13,7,24.46941666666666,7.753543650793651,-55,10,77
13,8,-6,-10,0,0,77
13,9,-3,0.001,0,0,77
13,10,-2,3,0,0,77
13,11,1,-10,0,0,77
13,12,15,-2.3333333333333335,-6,3,77
13,14,17.85,12.516666666666666,-6,3,77
13,15,13.79,-1.21,-1,1,77
13,16,7.199999999999999,-2.8,-1,1,77
13,17,9,-7,0,0,77
13,18,20.884999999999998,18.884999999999998,-3,2,77
13,19,0,1,0,0,77
13,20,8,0.001,0,0,77
14,1,-9.875,-0.375,-27,2,77
14,2,-4,-5.999,-9,1,77
14,3,-9.521666666666668,-8.0216666666666665,-54,3,77
14,4,7.297622072372075,0.3429350926850925,-1080,15,77
14,5,-10,6,0,0,77
14,6,6.3475,-0.5024999999999997,-135,5,77
14,7,-10,8,0,0,77
14,8,2.050333333333333,-9.799666666666667,-135,5,77
14,9,-5.78,2.7199999999999998,-54,3,77
14,10,-3.05,-6.55,-27,2,77
14,11,3.433333333333333,3.933333333333333,-54,3,77
14,12,7.485122072372075,0.3429350926850925,-1224,16,77
14,13,1.125,-2.375,-54,3,77
14,15,5.475833333333332,-6.874166666666667,-189,6,77
14,16,5.107499999999999,-1.7425000000000002,-135,5,77
14,17,2.495,-11.005,-27,2,77
14,18,-9.975,-4.475,-27,2,77
14,19,-5.5,-2.5,-9,1,77
14,20,11.433333333333334,3.933333333333333,-54,3,77
15,1,8.5645,-9.6855,-42,6,77
15,2,-5.995,-1.495,-6,2,77
15,3,8.013833333333332,-7.575452380952381,-72,8,77
15,4,-6,-3,0,0,77
15,5,-4,-1,0,0,77
15,6,-0.22616666666666674,-6.642833333333333,-30,5,77
15,7,1.17,-5.83,-2,1,77
15,8,14.991499999999997,-9.425166666666668,-30,5,77
15,9,12.183908730158732,-7.914477994227993,-132,11,77
15,10,9,-23.144841269841272,-90,9,77
15,11,3.5,1.5,-2,1,77
15,12,1,-17.5,-6,2,77
15,13,7,-4.999,-2,1,77
15,14,9.147666666666668,-2.102333333333333,-42,6,77
15,16,6.734797619047619,-5.854488095238095,-72,8,77
15,17,14.060166666666667,-9.189833333333333,-42,6,77
15,18,0.05833333333333357,-6.358333333333333,-30,5,77
15,19,-5,-4,0,0,77
